expiry,strike,type,close
1/13/2021,13500,Call,1450
1/13/2021,13500,Put,6.5
1/13/2021,13600,Call,1350
1/13/2021,13600,Put,7.1
1/13/2021,13700,Call,1250
1/13/2021,13700,Put,7.8
1/13/2021,13800,Call,1150
1/13/2021,13800,Put,9.5
1/13/2021,13900,Call,1050
1/13/2021,13900,Put,10.5
1/13/2021,14000,Call,950
1/13/2021,14000,Put,12.5
1/13/2021,14100,Call,855
1/13/2021,14100,Put,16
1/13/2021,14200,Call,755
1/13/2021,14200,Put,20
1/13/2021,14300,Call,670
1/13/2021,14300,Put,25.5
1/13/2021,14400,Call,570
1/13/2021,14400,Put,32
1/13/2021,14500,Call,482
1/13/2021,14500,Put,42.5
1/13/2021,14600,Call,397
1/13/2021,14600,Put,56
1/13/2021,14650,Call,356
1/13/2021,14650,Put,66
1/13/2021,14700,Call,316
1/13/2021,14700,Put,76
1/13/2021,14750,Call,278
1/13/2021,14750,Put,88
1/13/2021,14800,Call,240
1/13/2021,14800,Put,100
1/13/2021,14850,Call,208
1/13/2021,14850,Put,118
1/13/2021,14900,Call,171
1/13/2021,14900,Put,136
1/13/2021,14950,Call,143
1/13/2021,14950,Put,158
1/13/2021,15000,Call,119
1/13/2021,15000,Put,181
1/13/2021,15100,Call,79
1/13/2021,15100,Put,239
1/13/2021,15200,Call,52
1/13/2021,15200,Put,307
1/13/2021,15300,Call,32
1/13/2021,15300,Put,393
1/13/2021,15400,Call,19
1/13/2021,15400,Put,479
1/13/2021,15600,Call,7.2
1/13/2021,15600,Put,665
1/13/2021,15800,Call,3.5
1/13/2021,15800,Put,865
1/13/2021,16000,Call,2.3
1/13/2021,16000,Put,1060
1/13/2021,16200,Call,1.5
1/13/2021,16200,Put,1260
1/13/2021,16400,Call,1.2
1/13/2021,16400,Put,1460
1/13/2021,16600,Call,0.9
1/13/2021,16600,Put,1660
1/20/2021,10600,Call,4310
1/20/2021,10600,Put,3.8
1/20/2021,10700,Call,4210
1/20/2021,10700,Put,5.1
1/20/2021,10800,Call,4110
1/20/2021,10800,Put,5.2
1/20/2021,10900,Call,4020
1/20/2021,10900,Put,5.5
1/20/2021,11000,Call,3920
1/20/2021,11000,Put,5.7
1/20/2021,11100,Call,3820
1/20/2021,11100,Put,5.8
1/20/2021,11200,Call,3720
1/20/2021,11200,Put,6
1/20/2021,11300,Call,3620
1/20/2021,11300,Put,6.1
1/20/2021,11400,Call,3520
1/20/2021,11400,Put,6.2
1/20/2021,11500,Call,3420
1/20/2021,11500,Put,6.4
1/20/2021,11600,Call,3320
1/20/2021,11600,Put,6.7
1/20/2021,11700,Call,3220
1/20/2021,11700,Put,7
1/20/2021,11800,Call,3120
1/20/2021,11800,Put,7.4
1/20/2021,11900,Call,3020
1/20/2021,11900,Put,7.7
1/20/2021,12000,Call,2920
1/20/2021,12000,Put,8.1
1/20/2021,12100,Call,2820
1/20/2021,12100,Put,8.5
1/20/2021,12200,Call,2720
1/20/2021,12200,Put,8.9
1/20/2021,12300,Call,2620
1/20/2021,12300,Put,9.3
1/20/2021,12400,Call,2520
1/20/2021,12400,Put,9.9
1/20/2021,12500,Call,2420
1/20/2021,12500,Put,10.5
1/20/2021,12600,Call,2320
1/20/2021,12600,Put,11.5
1/20/2021,12700,Call,2220
1/20/2021,12700,Put,12
