expiry,strike,type,close
1/20/2021,10600,Call,5290
1/20/2021,10600,Put,0.1
1/20/2021,10700,Call,5190
1/20/2021,10700,Put,0.1
1/20/2021,10800,Call,5090
1/20/2021,10800,Put,0.1
1/20/2021,10900,Call,4990
1/20/2021,10900,Put,0.1
1/20/2021,11000,Call,4890
1/20/2021,11000,Put,0.1
1/20/2021,11100,Call,4790
1/20/2021,11100,Put,0.1
1/20/2021,11200,Call,4690
1/20/2021,11200,Put,0.1
1/20/2021,11300,Call,4590
1/20/2021,11300,Put,0.1
1/20/2021,11400,Call,4490
1/20/2021,11400,Put,0.1
1/20/2021,11500,Call,4390
1/20/2021,11500,Put,0.1
1/20/2021,11600,Call,4290
1/20/2021,11600,Put,0.1
1/20/2021,11700,Call,4190
1/20/2021,11700,Put,0.1
1/20/2021,11800,Call,4090
1/20/2021,11800,Put,0.1
1/20/2021,11900,Call,3990
1/20/2021,11900,Put,0.1
1/20/2021,12000,Call,3890
1/20/2021,12000,Put,0.1
1/20/2021,12100,Call,3790
1/20/2021,12100,Put,0.1
1/20/2021,12200,Call,3690
1/20/2021,12200,Put,0.1
1/20/2021,12300,Call,3590
1/20/2021,12300,Put,0.1
1/20/2021,12400,Call,3490
1/20/2021,12400,Put,0.1
1/20/2021,12500,Call,3390
1/20/2021,12500,Put,0.1
1/20/2021,12600,Call,3290
1/20/2021,12600,Put,0.1
1/20/2021,12700,Call,3190
1/20/2021,12700,Put,0.1
1/20/2021,12800,Call,3090
1/20/2021,12800,Put,0.1
1/20/2021,12900,Call,2990
1/20/2021,12900,Put,0.1
1/20/2021,13000,Call,2890
1/20/2021,13000,Put,0.1
1/20/2021,13100,Call,2790
1/20/2021,13100,Put,0.1
1/20/2021,13200,Call,2690
1/20/2021,13200,Put,0.1
1/20/2021,13300,Call,2590
1/20/2021,13300,Put,0.1
1/20/2021,13400,Call,2490
1/20/2021,13400,Put,0.1
1/20/2021,13500,Call,2390
1/20/2021,13500,Put,0.1
1/20/2021,13600,Call,2290
1/20/2021,13600,Put,0.1
1/20/2021,13700,Call,2190
1/20/2021,13700,Put,0.2
1/20/2021,13800,Call,2090
1/20/2021,13800,Put,0.2
1/20/2021,13900,Call,1990
1/20/2021,13900,Put,0.2
1/20/2021,14000,Call,1890
1/20/2021,14000,Put,0.2
1/20/2021,14100,Call,1790
1/20/2021,14100,Put,0.2
1/20/2021,14200,Call,1690
1/20/2021,14200,Put,0.2
1/20/2021,14300,Call,1590
1/20/2021,14300,Put,0.3
1/20/2021,14400,Call,1490
1/20/2021,14400,Put,0.5
1/20/2021,14500,Call,1390
1/20/2021,14500,Put,0.5
1/20/2021,14600,Call,1290
1/20/2021,14600,Put,0.7
1/20/2021,14700,Call,1190
1/20/2021,14700,Put,0.8
1/20/2021,14800,Call,1090
1/20/2021,14800,Put,1.1
1/20/2021,14900,Call,990
1/20/2021,14900,Put,1.1
1/20/2021,15000,Call,890
1/20/2021,15000,Put,1.5
1/20/2021,15050,Call,840
1/20/2021,15050,Put,1.5
1/20/2021,15100,Call,790
1/20/2021,15100,Put,1.5
1/20/2021,15150,Call,740
1/20/2021,15150,Put,1.7
1/20/2021,15200,Call,690
1/20/2021,15200,Put,1.8
1/20/2021,15250,Call,640
1/20/2021,15250,Put,1.9
1/20/2021,15300,Call,590
1/20/2021,15300,Put,2
1/20/2021,15350,Call,540
1/20/2021,15350,Put,2.5
1/20/2021,15400,Call,490
1/20/2021,15400,Put,3.1
1/20/2021,15450,Call,441
1/20/2021,15450,Put,3.6
1/20/2021,15500,Call,391
1/20/2021,15500,Put,4.8
1/20/2021,15550,Call,348
1/20/2021,15550,Put,6.6
1/20/2021,15600,Call,299
1/20/2021,15600,Put,9
1/20/2021,15650,Call,253
1/20/2021,15650,Put,12.5
1/20/2021,15700,Call,206
1/20/2021,15700,Put,19.5
1/20/2021,15750,Call,167
1/20/2021,15750,Put,26
1/20/2021,15800,Call,128
1/20/2021,15800,Put,37.5
1/20/2021,15850,Call,95
1/20/2021,15850,Put,55
1/20/2021,15900,Call,68
1/20/2021,15900,Put,78
1/20/2021,15950,Call,47.5
1/20/2021,15950,Put,108
1/20/2021,16000,Call,31
1/20/2021,16000,Put,141
1/20/2021,16050,Call,19.5
1/20/2021,16050,Put,180
1/20/2021,16100,Call,10.5
1/20/2021,16100,Put,223
1/20/2021,16150,Call,6.2
1/20/2021,16150,Put,264
1/20/2021,16200,Call,3.9
1/20/2021,16200,Put,314
1/20/2021,16300,Call,1.4
1/20/2021,16300,Put,413
1/20/2021,16400,Call,0.8
1/20/2021,16400,Put,510
1/20/2021,16500,Call,0.6
1/20/2021,16500,Put,610
1/20/2021,16600,Call,0.6
1/20/2021,16600,Put,710
1/20/2021,16700,Call,0.6
1/20/2021,16700,Put,810
1/20/2021,16800,Call,0.5
1/20/2021,16800,Put,910
1/20/2021,16900,Call,0.2
1/20/2021,16900,Put,1010
1/20/2021,17000,Call,0.2
1/20/2021,17000,Put,1110
1/20/2021,17100,Call,0.2
1/20/2021,17100,Put,1210
1/20/2021,17200,Call,0.2
1/20/2021,17200,Put,1310
1/20/2021,17300,Call,0.1
1/20/2021,17300,Put,1410
1/20/2021,17400,Call,0.1
1/20/2021,17400,Put,1510
1/20/2021,17500,Call,0.1
1/20/2021,17500,Put,1610
1/20/2021,17600,Call,0.1
1/20/2021,17600,Put,1710
1/20/2021,17700,Call,0.1
1/20/2021,17700,Put,1810
1/20/2021,17800,Call,0.1
1/20/2021,17800,Put,1910
1/20/2021,17900,Call,0.1
1/20/2021,17900,Put,2010
1/20/2021,18000,Call,0.1
1/20/2021,18000,Put,2110
1/20/2021,18100,Call,0.1
1/20/2021,18100,Put,2210
1/20/2021,18200,Call,0.1
1/20/2021,18200,Put,2310
2/17/2021,11600,Call,4250
2/17/2021,11600,Put,7.6
2/17/2021,11700,Call,4150
2/17/2021,11700,Put,8.3
2/17/2021,11800,Call,4050
2/17/2021,11800,Put,8.5
2/17/2021,11900,Call,3950
2/17/2021,11900,Put,8.6
2/17/2021,12000,Call,3850
2/17/2021,12000,Put,9.5
2/17/2021,12100,Call,3750
2/17/2021,12100,Put,9.7
2/17/2021,12200,Call,3650
2/17/2021,12200,Put,9.9
2/17/2021,12300,Call,3550
2/17/2021,12300,Put,10.5
2/17/2021,12400,Call,3450
2/17/2021,12400,Put,11
2/17/2021,12500,Call,3360
2/17/2021,12500,Put,11.5
2/17/2021,12600,Call,3260
2/17/2021,12600,Put,12.5
2/17/2021,12700,Call,3160
2/17/2021,12700,Put,13
2/17/2021,12800,Call,3060
2/17/2021,12800,Put,13.5
2/17/2021,12900,Call,2960
2/17/2021,12900,Put,14.5
2/17/2021,13000,Call,2860
2/17/2021,13000,Put,15
2/17/2021,13100,Call,2760
2/17/2021,13100,Put,16
2/17/2021,13200,Call,2660
2/17/2021,13200,Put,17.5
2/17/2021,13300,Call,2560
2/17/2021,13300,Put,18
2/17/2021,13400,Call,2460
2/17/2021,13400,Put,19
2/17/2021,13500,Call,2360
2/17/2021,13500,Put,20
2/17/2021,13600,Call,2270
2/17/2021,13600,Put,21.5
2/17/2021,13700,Call,2170
2/17/2021,13700,Put,24
2/17/2021,13800,Call,2070
2/17/2021,13800,Put,26.5
2/17/2021,13900,Call,1970
2/17/2021,13900,Put,27.5
2/17/2021,14000,Call,1880
2/17/2021,14000,Put,33.5
2/17/2021,14100,Call,1780
2/17/2021,14100,Put,38
2/17/2021,14200,Call,1680
2/17/2021,14200,Put,39.5
