expiry,strike,type,close
4/7/2021,14800,Call,1650
4/7/2021,14800,Put,0.6
4/7/2021,14900,Call,1550
4/7/2021,14900,Put,0.6
4/7/2021,15000,Call,1450
4/7/2021,15000,Put,1
4/7/2021,15100,Call,1350
4/7/2021,15100,Put,1.1
4/7/2021,15200,Call,1250
4/7/2021,15200,Put,1.3
4/7/2021,15300,Call,1150
4/7/2021,15300,Put,1.4
4/7/2021,15400,Call,1050
4/7/2021,15400,Put,2
4/7/2021,15500,Call,960
4/7/2021,15500,Put,2.4
4/7/2021,15600,Call,860
4/7/2021,15600,Put,3
4/7/2021,15700,Call,760
4/7/2021,15700,Put,4
4/7/2021,15800,Call,660
4/7/2021,15800,Put,5.9
4/7/2021,15900,Call,560
4/7/2021,15900,Put,9
4/7/2021,16000,Call,465
4/7/2021,16000,Put,14.5
4/7/2021,16100,Call,373
4/7/2021,16100,Put,22.5
4/7/2021,16150,Call,334
4/7/2021,16150,Put,29
4/7/2021,16200,Call,292
4/7/2021,16200,Put,36
4/7/2021,16250,Call,247
4/7/2021,16250,Put,46.5
4/7/2021,16300,Call,210
4/7/2021,16300,Put,58
4/7/2021,16350,Call,177
4/7/2021,16350,Put,73
4/7/2021,16400,Call,144
4/7/2021,16400,Put,90
4/7/2021,16450,Call,116
4/7/2021,16450,Put,110
4/7/2021,16500,Call,92
4/7/2021,16500,Put,137
4/7/2021,16550,Call,70
4/7/2021,16550,Put,164
4/7/2021,16600,Call,52
4/7/2021,16600,Put,197
4/7/2021,16650,Call,38.5
4/7/2021,16650,Put,233
4/7/2021,16700,Call,27
4/7/2021,16700,Put,278
4/7/2021,16750,Call,19.5
4/7/2021,16750,Put,313
4/7/2021,16800,Call,13
4/7/2021,16800,Put,360
4/7/2021,16850,Call,9
4/7/2021,16850,Put,408
4/7/2021,16900,Call,6.1
4/7/2021,16900,Put,455
4/7/2021,16950,Call,4.6
4/7/2021,16950,Put,505
4/7/2021,17000,Call,3.1
4/7/2021,17000,Put,550
4/7/2021,17050,Call,2.7
4/7/2021,17050,Put,600
4/7/2021,17100,Call,2
4/7/2021,17100,Put,650
4/7/2021,17200,Call,1.5
4/7/2021,17200,Put,750
4/7/2021,17300,Call,0.9
4/7/2021,17300,Put,850
4/7/2021,17400,Call,0.9
4/7/2021,17400,Put,950
4/7/2021,17500,Call,0.9
4/7/2021,17500,Put,1050
4/7/2021,17600,Call,0.9
4/7/2021,17600,Put,1150
4/7/2021,17700,Call,0.9
4/7/2021,17700,Put,1250
4/7/2021,17800,Call,0.9
4/7/2021,17800,Put,1350
4/7/2021,17900,Call,0.9
4/7/2021,17900,Put,1450
4/7/2021,18000,Call,0.9
4/7/2021,18000,Put,1550
4/7/2021,18100,Call,0.9
4/7/2021,18100,Put,1650
4/7/2021,18200,Call,0.9
4/7/2021,18200,Put,1750
4/7/2021,18300,Call,0.7
4/7/2021,18300,Put,1850
4/21/2021,12800,Call,3630
4/21/2021,12800,Put,3
4/21/2021,12900,Call,3530
4/21/2021,12900,Put,3.3
4/21/2021,13000,Call,3430
4/21/2021,13000,Put,4.2
4/21/2021,13100,Call,3330
4/21/2021,13100,Put,4.3
4/21/2021,13200,Call,3230
4/21/2021,13200,Put,4.4
4/21/2021,13300,Call,3130
4/21/2021,13300,Put,4.5
4/21/2021,13400,Call,3030
4/21/2021,13400,Put,4.6
4/21/2021,13500,Call,2930
4/21/2021,13500,Put,4.8
4/21/2021,13600,Call,2830
4/21/2021,13600,Put,5.2
4/21/2021,13700,Call,2730
4/21/2021,13700,Put,6.5
4/21/2021,13800,Call,2630
4/21/2021,13800,Put,6.8
4/21/2021,13900,Call,2530
4/21/2021,13900,Put,7
4/21/2021,14000,Call,2430
4/21/2021,14000,Put,8.8
4/21/2021,14100,Call,2330
4/21/2021,14100,Put,9.1
4/21/2021,14200,Call,2230
4/21/2021,14200,Put,9.5
4/21/2021,14300,Call,2130
4/21/2021,14300,Put,9.6
