expiry,strike,type,close
3/3/2021,14500,Call,1940
3/3/2021,14500,Put,0.4
3/3/2021,14600,Call,1840
3/3/2021,14600,Put,0.4
3/3/2021,14700,Call,1740
3/3/2021,14700,Put,0.4
3/3/2021,14800,Call,1640
3/3/2021,14800,Put,0.6
3/3/2021,14900,Call,1540
3/3/2021,14900,Put,0.7
3/3/2021,15000,Call,1440
3/3/2021,15000,Put,1
3/3/2021,15100,Call,1340
3/3/2021,15100,Put,1.2
3/3/2021,15200,Call,1240
3/3/2021,15200,Put,1.2
3/3/2021,15300,Call,1140
3/3/2021,15300,Put,1.7
3/3/2021,15400,Call,1040
3/3/2021,15400,Put,2.2
3/3/2021,15500,Call,940
3/3/2021,15500,Put,2.8
3/3/2021,15600,Call,845
3/3/2021,15600,Put,4
3/3/2021,15700,Call,745
3/3/2021,15700,Put,6.8
3/3/2021,15750,Call,695
3/3/2021,15750,Put,8.2
3/3/2021,15800,Call,650
3/3/2021,15800,Put,11
3/3/2021,15850,Call,605
3/3/2021,15850,Put,13.5
3/3/2021,15900,Call,560
3/3/2021,15900,Put,17
3/3/2021,15950,Call,515
3/3/2021,15950,Put,22
3/3/2021,16000,Call,469
3/3/2021,16000,Put,28
3/3/2021,16050,Call,425
3/3/2021,16050,Put,34
3/3/2021,16100,Call,380
3/3/2021,16100,Put,43
3/3/2021,16150,Call,340
3/3/2021,16150,Put,52
3/3/2021,16200,Call,299
3/3/2021,16200,Put,61
3/3/2021,16250,Call,264
3/3/2021,16250,Put,78
3/3/2021,16300,Call,228
3/3/2021,16300,Put,91
3/3/2021,16350,Call,197
3/3/2021,16350,Put,109
3/3/2021,16400,Call,167
3/3/2021,16400,Put,128
3/3/2021,16450,Call,137
3/3/2021,16450,Put,152
3/3/2021,16500,Call,114
3/3/2021,16500,Put,177
3/3/2021,16550,Call,92
3/3/2021,16550,Put,204
3/3/2021,16600,Call,75
3/3/2021,16600,Put,238
3/3/2021,16650,Call,57
3/3/2021,16650,Put,266
3/3/2021,16700,Call,43.5
3/3/2021,16700,Put,305
3/3/2021,16750,Call,33.5
3/3/2021,16750,Put,344
3/3/2021,16800,Call,24
3/3/2021,16800,Put,382
3/3/2021,16850,Call,18
3/3/2021,16850,Put,427
3/3/2021,16900,Call,12.5
3/3/2021,16900,Put,471
3/3/2021,17000,Call,5.9
3/3/2021,17000,Put,565
3/3/2021,17100,Call,2.6
3/3/2021,17100,Put,660
3/3/2021,17200,Call,1.4
3/3/2021,17200,Put,760
3/3/2021,17300,Call,0.7
3/3/2021,17300,Put,860
3/3/2021,17400,Call,0.5
3/3/2021,17400,Put,960
3/3/2021,17500,Call,0.2
3/3/2021,17500,Put,1060
3/3/2021,17600,Call,0.2
3/3/2021,17600,Put,1160
3/3/2021,17700,Call,0.1
3/3/2021,17700,Put,1260
3/3/2021,17800,Call,0.1
3/3/2021,17800,Put,1360
3/3/2021,17900,Call,0.1
3/3/2021,17900,Put,1460
3/3/2021,18000,Call,0.1
3/3/2021,18000,Put,1560
3/3/2021,18100,Call,0.1
3/3/2021,18100,Put,1660
3/17/2021,9200,Call,7190
3/17/2021,9200,Put,0.6
3/17/2021,9400,Call,6990
3/17/2021,9400,Put,0.6
3/17/2021,9600,Call,6790
3/17/2021,9600,Put,0.7
3/17/2021,9800,Call,6590
