expiry,strike,type,close
3/17/2021,9200,Call,7110
3/17/2021,9200,Put,0.1
3/17/2021,9400,Call,6910
3/17/2021,9400,Put,0.1
3/17/2021,9600,Call,6710
3/17/2021,9600,Put,0.1
3/17/2021,9800,Call,6510
3/17/2021,9800,Put,0.1
3/17/2021,10000,Call,6310
3/17/2021,10000,Put,0.1
3/17/2021,10200,Call,6110
3/17/2021,10200,Put,0.1
3/17/2021,10400,Call,5910
3/17/2021,10400,Put,0.1
3/17/2021,10600,Call,5710
3/17/2021,10600,Put,0.1
3/17/2021,10800,Call,5510
3/17/2021,10800,Put,0.1
3/17/2021,11000,Call,5310
3/17/2021,11000,Put,0.1
3/17/2021,11200,Call,5110
3/17/2021,11200,Put,0.1
3/17/2021,11400,Call,4910
3/17/2021,11400,Put,0.1
3/17/2021,11600,Call,4710
3/17/2021,11600,Put,0.1
3/17/2021,11800,Call,4510
3/17/2021,11800,Put,0.1
3/17/2021,12000,Call,4310
3/17/2021,12000,Put,0.1
3/17/2021,12100,Call,4210
3/17/2021,12100,Put,0.1
3/17/2021,12200,Call,4110
3/17/2021,12200,Put,0.1
3/17/2021,12300,Call,4010
3/17/2021,12300,Put,0.1
3/17/2021,12400,Call,3910
3/17/2021,12400,Put,0.1
3/17/2021,12500,Call,3810
3/17/2021,12500,Put,0.1
3/17/2021,12600,Call,3710
3/17/2021,12600,Put,0.1
3/17/2021,12700,Call,3610
3/17/2021,12700,Put,0.1
3/17/2021,12800,Call,3510
3/17/2021,12800,Put,0.1
3/17/2021,12900,Call,3410
3/17/2021,12900,Put,0.1
3/17/2021,13000,Call,3310
3/17/2021,13000,Put,0.1
3/17/2021,13100,Call,3210
3/17/2021,13100,Put,0.1
3/17/2021,13200,Call,3110
3/17/2021,13200,Put,0.1
3/17/2021,13300,Call,3010
3/17/2021,13300,Put,0.1
3/17/2021,13400,Call,2910
3/17/2021,13400,Put,0.1
3/17/2021,13500,Call,2810
3/17/2021,13500,Put,0.1
3/17/2021,13600,Call,2710
3/17/2021,13600,Put,0.1
3/17/2021,13700,Call,2610
3/17/2021,13700,Put,0.1
3/17/2021,13800,Call,2510
3/17/2021,13800,Put,0.1
3/17/2021,13900,Call,2410
3/17/2021,13900,Put,0.1
3/17/2021,14000,Call,2310
3/17/2021,14000,Put,0.1
3/17/2021,14100,Call,2210
3/17/2021,14100,Put,0.1
3/17/2021,14200,Call,2110
3/17/2021,14200,Put,0.1
3/17/2021,14300,Call,2010
3/17/2021,14300,Put,0.1
3/17/2021,14400,Call,1910
3/17/2021,14400,Put,0.1
3/17/2021,14500,Call,1810
3/17/2021,14500,Put,0.1
3/17/2021,14600,Call,1710
3/17/2021,14600,Put,0.1
3/17/2021,14700,Call,1610
3/17/2021,14700,Put,0.1
3/17/2021,14800,Call,1510
3/17/2021,14800,Put,0.2
3/17/2021,14900,Call,1410
3/17/2021,14900,Put,0.2
3/17/2021,15000,Call,1310
3/17/2021,15000,Put,0.3
3/17/2021,15100,Call,1210
3/17/2021,15100,Put,0.3
3/17/2021,15200,Call,1110
3/17/2021,15200,Put,0.4
3/17/2021,15300,Call,1010
3/17/2021,15300,Put,0.4
3/17/2021,15400,Call,910
3/17/2021,15400,Put,0.4
3/17/2021,15450,Call,860
3/17/2021,15450,Put,0.5
3/17/2021,15500,Call,810
3/17/2021,15500,Put,0.6
3/17/2021,15550,Call,760
3/17/2021,15550,Put,0.6
3/17/2021,15600,Call,710
3/17/2021,15600,Put,0.7
3/17/2021,15650,Call,660
3/17/2021,15650,Put,0.8
3/17/2021,15700,Call,610
3/17/2021,15700,Put,1
3/17/2021,15750,Call,560
3/17/2021,15750,Put,1.2
3/17/2021,15800,Call,510
3/17/2021,15800,Put,1.3
3/17/2021,15850,Call,460
3/17/2021,15850,Put,1.6
3/17/2021,15900,Call,410
3/17/2021,15900,Put,2
3/17/2021,15950,Call,360
3/17/2021,15950,Put,2.5
3/17/2021,16000,Call,310
3/17/2021,16000,Put,3.9
3/17/2021,16050,Call,262
3/17/2021,16050,Put,5.8
3/17/2021,16100,Call,216
3/17/2021,16100,Put,8.6
3/17/2021,16150,Call,169
3/17/2021,16150,Put,14.5
3/17/2021,16200,Call,129
3/17/2021,16200,Put,23.5
3/17/2021,16250,Call,94
3/17/2021,16250,Put,37.5
3/17/2021,16300,Call,64
3/17/2021,16300,Put,58
3/17/2021,16350,Call,40.5
3/17/2021,16350,Put,85
3/17/2021,16400,Call,24.5
3/17/2021,16400,Put,118
3/17/2021,16450,Call,13
3/17/2021,16450,Put,160
3/17/2021,16500,Call,6.9
3/17/2021,16500,Put,202
3/17/2021,16550,Call,3.5
3/17/2021,16550,Put,250
3/17/2021,16600,Call,1.9
3/17/2021,16600,Put,300
3/17/2021,16650,Call,1.1
3/17/2021,16650,Put,350
3/17/2021,16700,Call,0.7
3/17/2021,16700,Put,400
3/17/2021,16800,Call,0.5
3/17/2021,16800,Put,500
3/17/2021,16900,Call,0.2
3/17/2021,16900,Put,600
3/17/2021,17000,Call,0.2
3/17/2021,17000,Put,700
3/17/2021,17100,Call,0.2
3/17/2021,17100,Put,800
3/17/2021,17200,Call,0.2
3/17/2021,17200,Put,900
3/17/2021,17300,Call,0.2
3/17/2021,17300,Put,1000
3/17/2021,17400,Call,0.2
3/17/2021,17400,Put,1100
3/17/2021,17500,Call,0.2
3/17/2021,17500,Put,1200
3/17/2021,17600,Call,0.1
3/17/2021,17600,Put,1300
3/17/2021,17700,Call,0.1
3/17/2021,17700,Put,1400
3/17/2021,17800,Call,0.1
3/17/2021,17800,Put,1500
3/17/2021,17900,Call,0.1
3/17/2021,17900,Put,1600
3/17/2021,18000,Call,0.1
3/17/2021,18000,Put,1700
3/17/2021,18100,Call,0.1
3/17/2021,18100,Put,1800
3/17/2021,18200,Call,0.1
3/17/2021,18200,Put,1900
3/17/2021,18300,Call,0.1
3/17/2021,18300,Put,2000
3/17/2021,18400,Call,0.1
3/17/2021,18400,Put,2100
3/17/2021,18500,Call,0.1
3/17/2021,18500,Put,2200
3/17/2021,18600,Call,0.1
3/17/2021,18600,Put,2300
3/17/2021,18700,Call,0.1
3/17/2021,18700,Put,2400
3/17/2021,18800,Call,0.1
3/17/2021,18800,Put,2500
3/17/2021,18900,Call,0.1
3/17/2021,18900,Put,2600
3/17/2021,19000,Call,0.1
3/17/2021,19000,Put,2700
4/21/2021,12800,Call,3450
4/21/2021,12800,Put,8.3
4/21/2021,12900,Call,3350
4/21/2021,12900,Put,9.5
4/21/2021,13000,Call,3250
4/21/2021,13000,Put,10
4/21/2021,13100,Call,3150
4/21/2021,13100,Put,11
4/21/2021,13200,Call,3050
4/21/2021,13200,Put,12
4/21/2021,13300,Call,2950
4/21/2021,13300,Put,12.5
4/21/2021,13400,Call,2850
4/21/2021,13400,Put,13
4/21/2021,13500,Call,2760
4/21/2021,13500,Put,14.5
4/21/2021,13600,Call,2660
4/21/2021,13600,Put,15.5
4/21/2021,13700,Call,2560
4/21/2021,13700,Put,17
4/21/2021,13800,Call,2460
4/21/2021,13800,Put,18.5
4/21/2021,13900,Call,2360
4/21/2021,13900,Put,21
4/21/2021,14000,Call,2260
4/21/2021,14000,Put,22.5
4/21/2021,14100,Call,2160
4/21/2021,14100,Put,23
4/21/2021,14200,Call,2070
4/21/2021,14200,Put,27
4/21/2021,14300,Call,1970
4/21/2021,14300,Put,30.5
4/21/2021,14400,Call,1870
4/21/2021,14400,Put,33
4/21/2021,14500,Call,1780
4/21/2021,14500,Put,37.5
4/21/2021,14600,Call,1680
4/21/2021,14600,Put,40.5
4/21/2021,14700,Call,1590
4/21/2021,14700,Put,48.5
4/21/2021,14800,Call,1500
4/21/2021,14800,Put,56
4/21/2021,14900,Call,1400
4/21/2021,14900,Put,62
4/21/2021,15000,Call,1310
4/21/2021,15000,Put,71
4/21/2021,15100,Call,1220
4/21/2021,15100,Put,80
4/21/2021,15200,Call,1130
4/21/2021,15200,Put,91
4/21/2021,15300,Call,1050
4/21/2021,15300,Put,105
4/21/2021,15400,Call,960
4/21/2021,15400,Put,120
4/21/2021,15500,Call,880
4/21/2021,15500,Put,136
4/21/2021,15600,Call,800
4/21/2021,15600,Put,156
4/21/2021,15700,Call,720
4/21/2021,15700,Put,178
4/21/2021,15800,Call,645
4/21/2021,15800,Put,203
4/21/2021,15900,Call,570
4/21/2021,15900,Put,233
4/21/2021,16000,Call,510
4/21/2021,16000,Put,265
4/21/2021,16100,Call,441
4/21/2021,16100,Put,303
4/21/2021,16200,Call,385
4/21/2021,16200,Put,344
4/21/2021,16300,Call,332
4/21/2021,16300,Put,390
4/21/2021,16400,Call,282
4/21/2021,16400,Put,441
4/21/2021,16500,Call,238
4/21/2021,16500,Put,500
4/21/2021,16600,Call,200
4/21/2021,16600,Put,555
4/21/2021,16700,Call,162
4/21/2021,16700,Put,620
4/21/2021,16800,Call,132
4/21/2021,16800,Put,690
4/21/2021,16900,Call,107
4/21/2021,16900,Put,765
4/21/2021,17000,Call,85
4/21/2021,17000,Put,845
4/21/2021,17100,Call,68
4/21/2021,17100,Put,925
4/21/2021,17200,Call,53
4/21/2021,17200,Put,1010
4/21/2021,17300,Call,42
4/21/2021,17300,Put,1100
4/21/2021,17400,Call,33.5
4/21/2021,17400,Put,1190
4/21/2021,17500,Call,26.5
4/21/2021,17500,Put,1280
4/21/2021,17600,Call,21.5
4/21/2021,17600,Put,1380
4/21/2021,17700,Call,17
4/21/2021,17700,Put,1470
4/21/2021,17800,Call,13.5
4/21/2021,17800,Put,1570
