expiry,strike,type,close
2/17/2021,11600,Call,4100
2/17/2021,11600,Put,0.1
2/17/2021,11700,Call,4000
2/17/2021,11700,Put,0.1
2/17/2021,11800,Call,3900
2/17/2021,11800,Put,0.1
2/17/2021,11900,Call,3800
2/17/2021,11900,Put,0.1
2/17/2021,12000,Call,3700
2/17/2021,12000,Put,0.1
2/17/2021,12100,Call,3600
2/17/2021,12100,Put,0.1
2/17/2021,12200,Call,3500
2/17/2021,12200,Put,0.1
2/17/2021,12300,Call,3400
2/17/2021,12300,Put,0.1
2/17/2021,12400,Call,3300
2/17/2021,12400,Put,0.1
2/17/2021,12500,Call,3200
2/17/2021,12500,Put,0.1
2/17/2021,12600,Call,3100
2/17/2021,12600,Put,0.1
2/17/2021,12700,Call,3000
2/17/2021,12700,Put,0.2
2/17/2021,12800,Call,2900
2/17/2021,12800,Put,0.2
2/17/2021,12900,Call,2800
2/17/2021,12900,Put,0.2
2/17/2021,13000,Call,2700
2/17/2021,13000,Put,0.2
2/17/2021,13100,Call,2600
2/17/2021,13100,Put,0.2
2/17/2021,13200,Call,2500
2/17/2021,13200,Put,0.2
2/17/2021,13300,Call,2400
2/17/2021,13300,Put,0.2
2/17/2021,13400,Call,2300
2/17/2021,13400,Put,0.2
2/17/2021,13500,Call,2200
2/17/2021,13500,Put,0.2
2/17/2021,13600,Call,2100
2/17/2021,13600,Put,0.4
2/17/2021,13700,Call,2000
2/17/2021,13700,Put,0.4
2/17/2021,13800,Call,1900
2/17/2021,13800,Put,0.6
2/17/2021,13900,Call,1800
2/17/2021,13900,Put,0.7
2/17/2021,14000,Call,1700
2/17/2021,14000,Put,1
2/17/2021,14100,Call,1600
2/17/2021,14100,Put,1.1
2/17/2021,14200,Call,1500
2/17/2021,14200,Put,1.6
2/17/2021,14300,Call,1400
2/17/2021,14300,Put,1.8
2/17/2021,14400,Call,1300
2/17/2021,14400,Put,2.1
2/17/2021,14500,Call,1200
2/17/2021,14500,Put,2.6
2/17/2021,14600,Call,1100
2/17/2021,14600,Put,3.6
2/17/2021,14700,Call,1000
2/17/2021,14700,Put,5.3
2/17/2021,14800,Call,905
2/17/2021,14800,Put,8.6
2/17/2021,14900,Call,810
2/17/2021,14900,Put,12.5
2/17/2021,15000,Call,720
2/17/2021,15000,Put,19
2/17/2021,15100,Call,625
2/17/2021,15100,Put,29.5
2/17/2021,15200,Call,540
2/17/2021,15200,Put,42.5
2/17/2021,15300,Call,460
2/17/2021,15300,Put,60
2/17/2021,15350,Call,416
2/17/2021,15350,Put,71
2/17/2021,15400,Call,376
2/17/2021,15400,Put,82
2/17/2021,15450,Call,342
2/17/2021,15450,Put,96
2/17/2021,15500,Call,305
2/17/2021,15500,Put,110
2/17/2021,15550,Call,273
2/17/2021,15550,Put,127
2/17/2021,15600,Call,244
2/17/2021,15600,Put,147
2/17/2021,15650,Call,214
2/17/2021,15650,Put,160
2/17/2021,15700,Call,189
2/17/2021,15700,Put,191
2/17/2021,15750,Call,163
2/17/2021,15750,Put,217
2/17/2021,15800,Call,140
2/17/2021,15800,Put,239
2/17/2021,15850,Call,118
2/17/2021,15850,Put,273
2/17/2021,15900,Call,98
2/17/2021,15900,Put,298
