expiry,strike,type,close
2/3/2021,14000,Call,1690
2/3/2021,14000,Put,1.4
2/3/2021,14100,Call,1590
2/3/2021,14100,Put,1.6
2/3/2021,14200,Call,1490
2/3/2021,14200,Put,2
2/3/2021,14300,Call,1390
2/3/2021,14300,Put,2.4
2/3/2021,14400,Call,1290
2/3/2021,14400,Put,3
2/3/2021,14500,Call,1200
2/3/2021,14500,Put,3.6
2/3/2021,14600,Call,1100
2/3/2021,14600,Put,4.6
2/3/2021,14700,Call,1000
2/3/2021,14700,Put,6.7
2/3/2021,14800,Call,900
2/3/2021,14800,Put,8.8
2/3/2021,14900,Call,805
2/3/2021,14900,Put,13.5
2/3/2021,15000,Call,710
2/3/2021,15000,Put,18
2/3/2021,15100,Call,620
2/3/2021,15100,Put,26.5
2/3/2021,15200,Call,525
2/3/2021,15200,Put,36
2/3/2021,15250,Call,486
2/3/2021,15250,Put,44
2/3/2021,15300,Call,450
2/3/2021,15300,Put,54
2/3/2021,15350,Call,406
2/3/2021,15350,Put,62
2/3/2021,15400,Call,366
2/3/2021,15400,Put,74
2/3/2021,15450,Call,328
2/3/2021,15450,Put,86
2/3/2021,15500,Call,291
2/3/2021,15500,Put,100
2/3/2021,15550,Call,256
2/3/2021,15550,Put,115
2/3/2021,15600,Call,229
2/3/2021,15600,Put,133
2/3/2021,15650,Call,194
2/3/2021,15650,Put,153
2/3/2021,15700,Call,165
2/3/2021,15700,Put,172
2/3/2021,15750,Call,141
2/3/2021,15750,Put,200
2/3/2021,15800,Call,119
2/3/2021,15800,Put,228
2/3/2021,15850,Call,101
2/3/2021,15850,Put,263
2/3/2021,15900,Call,81
2/3/2021,15900,Put,289
2/3/2021,15950,Call,66
2/3/2021,15950,Put,326
2/3/2021,16000,Call,53
2/3/2021,16000,Put,363
2/3/2021,16050,Call,42
2/3/2021,16050,Put,400
2/3/2021,16100,Call,33.5
2/3/2021,16100,Put,441
2/3/2021,16200,Call,20
2/3/2021,16200,Put,530
2/3/2021,16300,Call,11
2/3/2021,16300,Put,620
2/3/2021,16400,Call,7.3
2/3/2021,16400,Put,715
2/3/2021,16500,Call,4.6
2/3/2021,16500,Put,815
2/3/2021,16600,Call,3.3
2/3/2021,16600,Put,910
2/3/2021,16700,Call,2.5
2/3/2021,16700,Put,1010
2/3/2021,16800,Call,2.1
2/3/2021,16800,Put,1110
2/3/2021,16900,Call,2.1
2/3/2021,16900,Put,1210
2/3/2021,17000,Call,1.5
2/3/2021,17000,Put,1310
2/3/2021,17100,Call,1.3
2/3/2021,17100,Put,1410
2/3/2021,17200,Call,1
2/3/2021,17200,Put,1510
2/3/2021,17300,Call,1
2/3/2021,17300,Put,1610
2/17/2021,11600,Call,4060
2/17/2021,11600,Put,3.4
2/17/2021,11700,Call,3960
2/17/2021,11700,Put,3.7
2/17/2021,11800,Call,3860
2/17/2021,11800,Put,4
2/17/2021,11900,Call,3760
2/17/2021,11900,Put,4.3
2/17/2021,12000,Call,3660
2/17/2021,12000,Put,4.8
2/17/2021,12100,Call,3560
2/17/2021,12100,Put,5.2
2/17/2021,12200,Call,3460
2/17/2021,12200,Put,5.5
2/17/2021,12300,Call,3360
2/17/2021,12300,Put,5.8
2/17/2021,12400,Call,3260
2/17/2021,12400,Put,6.2
2/17/2021,12500,Call,3160
2/17/2021,12500,Put,6.4
2/17/2021,12600,Call,3060
2/17/2021,12600,Put,6.6
2/17/2021,12700,Call,2970
2/17/2021,12700,Put,7.4
2/17/2021,12800,Call,2870
2/17/2021,12800,Put,8.2
2/17/2021,12900,Call,2770
2/17/2021,12900,Put,9
2/17/2021,13000,Call,2670
2/17/2021,13000,Put,9.9
2/17/2021,13100,Call,2570
2/17/2021,13100,Put,10.5
2/17/2021,13200,Call,2470
2/17/2021,13200,Put,11
2/17/2021,13300,Call,2370
2/17/2021,13300,Put,12
2/17/2021,13400,Call,2270
2/17/2021,13400,Put,13
2/17/2021,13500,Call,2170
2/17/2021,13500,Put,14.5
2/17/2021,13600,Call,2070
2/17/2021,13600,Put,17
2/17/2021,13700,Call,1980
2/17/2021,13700,Put,19.5
2/17/2021,13800,Call,1880
2/17/2021,13800,Put,21
2/17/2021,13900,Call,1780
2/17/2021,13900,Put,25
2/17/2021,14000,Call,1690
2/17/2021,14000,Put,28.5
2/17/2021,14100,Call,1590
2/17/2021,14100,Put,33.5
2/17/2021,14200,Call,1500
2/17/2021,14200,Put,39
2/17/2021,14300,Call,1400
2/17/2021,14300,Put,45.5
2/17/2021,14400,Call,1310
2/17/2021,14400,Put,53
2/17/2021,14500,Call,1220
2/17/2021,14500,Put,63
2/17/2021,14600,Call,1120
2/17/2021,14600,Put,67
