expiry,strike,type,close
1/27/2021,14200,Call,1960
1/27/2021,14200,Put,1.4
1/27/2021,14300,Call,1860
1/27/2021,14300,Put,1.6
1/27/2021,14400,Call,1760
1/27/2021,14400,Put,1.8
1/27/2021,14500,Call,1660
1/27/2021,14500,Put,2.1
1/27/2021,14600,Call,1560
1/27/2021,14600,Put,2.7
1/27/2021,14700,Call,1460
1/27/2021,14700,Put,2.8
1/27/2021,14800,Call,1360
1/27/2021,14800,Put,3.1
1/27/2021,14900,Call,1260
1/27/2021,14900,Put,3.7
1/27/2021,15000,Call,1160
1/27/2021,15000,Put,4.4
1/27/2021,15100,Call,1060
1/27/2021,15100,Put,5.5
1/27/2021,15200,Call,965
1/27/2021,15200,Put,7
1/27/2021,15300,Call,870
1/27/2021,15300,Put,10.5
1/27/2021,15350,Call,820
1/27/2021,15350,Put,10.5
1/27/2021,15400,Call,770
1/27/2021,15400,Put,13
1/27/2021,15450,Call,720
1/27/2021,15450,Put,14
1/27/2021,15500,Call,675
1/27/2021,15500,Put,17.5
1/27/2021,15550,Call,630
1/27/2021,15550,Put,20
1/27/2021,15600,Call,580
1/27/2021,15600,Put,27
1/27/2021,15650,Call,540
1/27/2021,15650,Put,32.5
1/27/2021,15700,Call,498
1/27/2021,15700,Put,40.5
1/27/2021,15750,Call,453
1/27/2021,15750,Put,45
1/27/2021,15800,Call,411
1/27/2021,15800,Put,52
1/27/2021,15850,Call,380
1/27/2021,15850,Put,70
1/27/2021,15900,Call,344
1/27/2021,15900,Put,82
1/27/2021,15950,Call,307
1/27/2021,15950,Put,96
1/27/2021,16000,Call,272
1/27/2021,16000,Put,113
1/27/2021,16050,Call,243
1/27/2021,16050,Put,134
1/27/2021,16100,Call,220
1/27/2021,16100,Put,157
1/27/2021,16150,Call,189
1/27/2021,16150,Put,181
1/27/2021,16200,Call,172
1/27/2021,16200,Put,213
1/27/2021,16250,Call,150
1/27/2021,16250,Put,242
1/27/2021,16300,Call,130
1/27/2021,16300,Put,272
1/27/2021,16350,Call,111
1/27/2021,16350,Put,303
1/27/2021,16400,Call,99
1/27/2021,16400,Put,341
1/27/2021,16500,Call,74
1/27/2021,16500,Put,411
1/27/2021,16600,Call,52
1/27/2021,16600,Put,494
1/27/2021,16700,Call,37.5
1/27/2021,16700,Put,580
1/27/2021,16800,Call,24.5
1/27/2021,16800,Put,665
1/27/2021,16900,Call,18.5
1/27/2021,16900,Put,760
1/27/2021,17000,Call,12.5
1/27/2021,17000,Put,855
1/27/2021,17100,Call,9
1/27/2021,17100,Put,950
1/27/2021,17200,Call,6
1/27/2021,17200,Put,1050
1/27/2021,17300,Call,4
1/27/2021,17300,Put,1150
1/27/2021,17400,Call,2.9
1/27/2021,17400,Put,1240
1/27/2021,17500,Call,2.2
1/27/2021,17500,Put,1340
2/17/2021,11600,Call,4530
2/17/2021,11600,Put,4.7
2/17/2021,11700,Call,4430
2/17/2021,11700,Put,4.9
2/17/2021,11800,Call,4330
2/17/2021,11800,Put,5
2/17/2021,11900,Call,4230
2/17/2021,11900,Put,5.2
2/17/2021,12000,Call,4130
2/17/2021,12000,Put,5.5
2/17/2021,12100,Call,4030
2/17/2021,12100,Put,5.5
2/17/2021,12200,Call,3930
2/17/2021,12200,Put,5.6
2/17/2021,12300,Call,3830
2/17/2021,12300,Put,5.8
2/17/2021,12400,Call,3730
2/17/2021,12400,Put,6
2/17/2021,12500,Call,3630
2/17/2021,12500,Put,6.9
2/17/2021,12600,Call,3530
2/17/2021,12600,Put,7.9
2/17/2021,12700,Call,3430
2/17/2021,12700,Put,8.1
2/17/2021,12800,Call,3330
2/17/2021,12800,Put,8.2
2/17/2021,12900,Call,3230
2/17/2021,12900,Put,8.9
2/17/2021,13000,Call,3130
2/17/2021,13000,Put,9
2/17/2021,13100,Call,3030
2/17/2021,13100,Put,9.5
2/17/2021,13200,Call,2930
2/17/2021,13200,Put,9.9
2/17/2021,13300,Call,2840
2/17/2021,13300,Put,11
2/17/2021,13400,Call,2740
2/17/2021,13400,Put,11.5
2/17/2021,13500,Call,2640
2/17/2021,13500,Put,13
2/17/2021,13600,Call,2540
2/17/2021,13600,Put,13.5
2/17/2021,13700,Call,2440
2/17/2021,13700,Put,14
2/17/2021,13800,Call,2340
2/17/2021,13800,Put,15.5
2/17/2021,13900,Call,2240
2/17/2021,13900,Put,18.5
2/17/2021,14000,Call,2140
2/17/2021,14000,Put,20
2/17/2021,14100,Call,2050
2/17/2021,14100,Put,23
2/17/2021,14200,Call,1950
2/17/2021,14200,Put,26
2/17/2021,14300,Call,1850
2/17/2021,14300,Put,30
2/17/2021,14400,Call,1760
2/17/2021,14400,Put,34
2/17/2021,14500,Call,1660
2/17/2021,14500,Put,39.5
2/17/2021,14600,Call,1560
2/17/2021,14600,Put,40
2/17/2021,14700,Call,1480
2/17/2021,14700,Put,53
2/17/2021,14800,Call,1380
2/17/2021,14800,Put,60
2/17/2021,14900,Call,1300
2/17/2021,14900,Put,71
2/17/2021,15000,Call,1210
2/17/2021,15000,Put,82
2/17/2021,15100,Call,1120
2/17/2021,15100,Put,94
2/17/2021,15200,Call,1030
2/17/2021,15200,Put,109
2/17/2021,15300,Call,950
2/17/2021,15300,Put,126
2/17/2021,15400,Call,870
2/17/2021,15400,Put,146
2/17/2021,15500,Call,805
2/17/2021,15500,Put,180
2/17/2021,15600,Call,720
2/17/2021,15600,Put,194
2/17/2021,15700,Call,645
2/17/2021,15700,Put,224
2/17/2021,15800,Call,575
2/17/2021,15800,Put,254
2/17/2021,15900,Call,515
2/17/2021,15900,Put,291
2/17/2021,16000,Call,455
2/17/2021,16000,Put,330
2/17/2021,16100,Call,400
2/17/2021,16100,Put,373
2/17/2021,16200,Call,352
2/17/2021,16200,Put,427
2/17/2021,16300,Call,307
2/17/2021,16300,Put,482
2/17/2021,16400,Call,262
2/17/2021,16400,Put,535
2/17/2021,16500,Call,228
2/17/2021,16500,Put,605
2/17/2021,16600,Call,198
2/17/2021,16600,Put,675
2/17/2021,16700,Call,170
2/17/2021,16700,Put,745
2/17/2021,16800,Call,145
2/17/2021,16800,Put,820
2/17/2021,16900,Call,122
2/17/2021,16900,Put,895
2/17/2021,17000,Call,107
2/17/2021,17000,Put,980
2/17/2021,17100,Call,87
2/17/2021,17100,Put,1060
2/17/2021,17200,Call,75
2/17/2021,17200,Put,1150
2/17/2021,17300,Call,59
2/17/2021,17300,Put,1230
2/17/2021,17400,Call,49
2/17/2021,17400,Put,1320
2/17/2021,17500,Call,38.5
2/17/2021,17500,Put,1410
2/17/2021,17600,Call,32
2/17/2021,17600,Put,1510
2/17/2021,17700,Call,26
2/17/2021,17700,Put,1600
2/17/2021,17800,Call,21
2/17/2021,17800,Put,1700
2/17/2021,17900,Call,16.5
2/17/2021,17900,Put,1790
2/17/2021,18000,Call,14
2/17/2021,18000,Put,1890
2/17/2021,18100,Call,11.5
2/17/2021,18100,Put,1990
2/17/2021,18200,Call,10.5
2/17/2021,18200,Put,2080
2/17/2021,18300,Call,8.2
2/17/2021,18300,Put,2180
3/17/2021,9200,Call,6850
3/17/2021,9200,Put,7.8
3/17/2021,9400,Call,6650
3/17/2021,9400,Put,9.9
3/17/2021,9600,Call,6450
3/17/2021,9600,Put,10
3/17/2021,9800,Call,6250
3/17/2021,9800,Put,10.5
3/17/2021,10000,Call,6050
3/17/2021,10000,Put,11
3/17/2021,10200,Call,5850
3/17/2021,10200,Put,11
3/17/2021,10400,Call,5660
