expiry,strike,type,close
1/27/2021,14200,Call,1580
1/27/2021,14200,Put,2.2
1/27/2021,14300,Call,1480
1/27/2021,14300,Put,3
1/27/2021,14400,Call,1380
1/27/2021,14400,Put,3.7
1/27/2021,14500,Call,1280
1/27/2021,14500,Put,4.6
1/27/2021,14600,Call,1190
1/27/2021,14600,Put,5.8
1/27/2021,14700,Call,1090
1/27/2021,14700,Put,7.6
1/27/2021,14800,Call,990
1/27/2021,14800,Put,10.5
1/27/2021,14900,Call,895
1/27/2021,14900,Put,13
1/27/2021,15000,Call,800
1/27/2021,15000,Put,18.5
1/27/2021,15100,Call,700
1/27/2021,15100,Put,24.5
1/27/2021,15200,Call,615
1/27/2021,15200,Put,33
1/27/2021,15300,Call,525
1/27/2021,15300,Put,46
1/27/2021,15400,Call,438
1/27/2021,15400,Put,61
1/27/2021,15450,Call,401
1/27/2021,15450,Put,71
1/27/2021,15500,Call,362
1/27/2021,15500,Put,82
1/27/2021,15550,Call,320
1/27/2021,15550,Put,95
1/27/2021,15600,Call,285
1/27/2021,15600,Put,109
1/27/2021,15650,Call,251
1/27/2021,15650,Put,124
1/27/2021,15700,Call,226
1/27/2021,15700,Put,143
1/27/2021,15750,Call,193
1/27/2021,15750,Put,165
1/27/2021,15800,Call,168
1/27/2021,15800,Put,188
1/27/2021,15850,Call,143
1/27/2021,15850,Put,213
1/27/2021,15900,Call,122
1/27/2021,15900,Put,240
1/27/2021,15950,Call,101
1/27/2021,15950,Put,270
1/27/2021,16000,Call,85
1/27/2021,16000,Put,304
1/27/2021,16050,Call,70
1/27/2021,16050,Put,346
1/27/2021,16100,Call,55
1/27/2021,16100,Put,378
1/27/2021,16150,Call,45.5
1/27/2021,16150,Put,420
1/27/2021,16200,Call,37
1/27/2021,16200,Put,455
1/27/2021,16250,Call,26.5
1/27/2021,16250,Put,496
1/27/2021,16300,Call,23
1/27/2021,16300,Put,545
1/27/2021,16350,Call,17
1/27/2021,16350,Put,585
1/27/2021,16400,Call,13.5
1/27/2021,16400,Put,635
1/27/2021,16500,Call,7.5
1/27/2021,16500,Put,725
1/27/2021,16600,Call,4
1/27/2021,16600,Put,825
1/27/2021,16700,Call,2.8
1/27/2021,16700,Put,925
1/27/2021,16800,Call,2.1
1/27/2021,16800,Put,1020
1/27/2021,16900,Call,1.9
1/27/2021,16900,Put,1120
1/27/2021,17000,Call,1.7
1/27/2021,17000,Put,1220
1/27/2021,17100,Call,0.7
1/27/2021,17100,Put,1320
1/27/2021,17200,Call,0.6
1/27/2021,17200,Put,1420
1/27/2021,17300,Call,0.5
1/27/2021,17300,Put,1520
1/27/2021,17400,Call,0.4
1/27/2021,17400,Put,1620
1/27/2021,17500,Call,0.2
1/27/2021,17500,Put,1720
2/17/2021,11600,Call,4140
2/17/2021,11600,Put,6.4
2/17/2021,11700,Call,4040
2/17/2021,11700,Put,7.6
2/17/2021,11800,Call,3940
2/17/2021,11800,Put,8
2/17/2021,11900,Call,3840
2/17/2021,11900,Put,8.2
2/17/2021,12000,Call,3740
2/17/2021,12000,Put,8.4
2/17/2021,12100,Call,3640
2/17/2021,12100,Put,9
2/17/2021,12200,Call,3540
2/17/2021,12200,Put,9.5
2/17/2021,12300,Call,3440
2/17/2021,12300,Put,10
2/17/2021,12400,Call,3340
2/17/2021,12400,Put,10
2/17/2021,12500,Call,3240
2/17/2021,12500,Put,10
2/17/2021,12600,Call,3140
2/17/2021,12600,Put,11
2/17/2021,12700,Call,3040
2/17/2021,12700,Put,12
2/17/2021,12800,Call,2940
2/17/2021,12800,Put,12.5
2/17/2021,12900,Call,2840
2/17/2021,12900,Put,12.5
2/17/2021,13000,Call,2740
2/17/2021,13000,Put,12.5
2/17/2021,13100,Call,2650
2/17/2021,13100,Put,15
2/17/2021,13200,Call,2550
2/17/2021,13200,Put,16
2/17/2021,13300,Call,2450
2/17/2021,13300,Put,17
2/17/2021,13400,Call,2350
2/17/2021,13400,Put,17.5
2/17/2021,13500,Call,2250
2/17/2021,13500,Put,19
2/17/2021,13600,Call,2150
2/17/2021,13600,Put,22
2/17/2021,13700,Call,2060
2/17/2021,13700,Put,25.5
2/17/2021,13800,Call,1960
2/17/2021,13800,Put,28
2/17/2021,13900,Call,1860
2/17/2021,13900,Put,32
2/17/2021,14000,Call,1770
2/17/2021,14000,Put,32.5
2/17/2021,14100,Call,1670
2/17/2021,14100,Put,38.5
2/17/2021,14200,Call,1580
2/17/2021,14200,Put,43.5
2/17/2021,14300,Call,1480
2/17/2021,14300,Put,52
2/17/2021,14400,Call,1390
2/17/2021,14400,Put,58
2/17/2021,14500,Call,1300
2/17/2021,14500,Put,70
2/17/2021,14600,Call,1210
2/17/2021,14600,Put,78
2/17/2021,14700,Call,1120
2/17/2021,14700,Put,87
2/17/2021,14800,Call,1030
2/17/2021,14800,Put,99
2/17/2021,14900,Call,945
2/17/2021,14900,Put,114
2/17/2021,15000,Call,870
2/17/2021,15000,Put,130
2/17/2021,15100,Call,790
2/17/2021,15100,Put,153
2/17/2021,15200,Call,710
2/17/2021,15200,Put,173
2/17/2021,15300,Call,630
2/17/2021,15300,Put,196
2/17/2021,15400,Call,555
2/17/2021,15400,Put,224
2/17/2021,15500,Call,488
2/17/2021,15500,Put,255
2/17/2021,15600,Call,432
2/17/2021,15600,Put,295
2/17/2021,15700,Call,375
2/17/2021,15700,Put,337
2/17/2021,15800,Call,320
2/17/2021,15800,Put,385
2/17/2021,15900,Call,269
2/17/2021,15900,Put,432
2/17/2021,16000,Call,229
2/17/2021,16000,Put,496
2/17/2021,16100,Call,195
2/17/2021,16100,Put,560
2/17/2021,16200,Call,159
2/17/2021,16200,Put,625
2/17/2021,16300,Call,133
2/17/2021,16300,Put,700
2/17/2021,16400,Call,108
2/17/2021,16400,Put,775
2/17/2021,16500,Call,88
2/17/2021,16500,Put,855
2/17/2021,16600,Call,72
2/17/2021,16600,Put,940
2/17/2021,16700,Call,56
2/17/2021,16700,Put,1020
2/17/2021,16800,Call,43.5
2/17/2021,16800,Put,1110
2/17/2021,16900,Call,33.5
2/17/2021,16900,Put,1200
2/17/2021,17000,Call,27
2/17/2021,17000,Put,1290
2/17/2021,17100,Call,23
2/17/2021,17100,Put,1390
2/17/2021,17200,Call,18
2/17/2021,17200,Put,1480
2/17/2021,17300,Call,15
2/17/2021,17300,Put,1580
2/17/2021,17400,Call,12.5
2/17/2021,17400,Put,1680
2/17/2021,17500,Call,10
2/17/2021,17500,Put,1780
2/17/2021,17600,Call,8.4
2/17/2021,17600,Put,1870
2/17/2021,17700,Call,7.3
2/17/2021,17700,Put,1970
2/17/2021,17800,Call,6
2/17/2021,17800,Put,2070
2/17/2021,17900,Call,5
2/17/2021,17900,Put,2170
2/17/2021,18000,Call,4.8
2/17/2021,18000,Put,2270
2/17/2021,18100,Call,3.8
2/17/2021,18100,Put,2370
2/17/2021,18200,Call,3.7
2/17/2021,18200,Put,2470
2/17/2021,18300,Call,2.1
2/17/2021,18300,Put,2570
3/17/2021,9200,Call,6460
3/17/2021,9200,Put,11.5
3/17/2021,9400,Call,6260
3/17/2021,9400,Put,13.5
3/17/2021,9600,Call,6070
3/17/2021,9600,Put,15
3/17/2021,9800,Call,5870
3/17/2021,9800,Put,15.5
3/17/2021,10000,Call,5670
3/17/2021,10000,Put,16
3/17/2021,10200,Call,5470
3/17/2021,10200,Put,17
3/17/2021,10400,Call,5270
3/17/2021,10400,Put,17.5
3/17/2021,10600,Call,5070
3/17/2021,10600,Put,18
3/17/2021,10800,Call,4870
3/17/2021,10800,Put,18.5
3/17/2021,11000,Call,4670
3/17/2021,11000,Put,19.5
3/17/2021,11200,Call,4470
3/17/2021,11200,Put,22
3/17/2021,11400,Call,4280
3/17/2021,11400,Put,25.5
3/17/2021,11600,Call,4080
3/17/2021,11600,Put,29
3/17/2021,11800,Call,3880
3/17/2021,11800,Put,30
3/17/2021,12000,Call,3680
3/17/2021,12000,Put,31
3/17/2021,12100,Call,3590
3/17/2021,12100,Put,32.5
3/17/2021,12200,Call,3490
3/17/2021,12200,Put,34
3/17/2021,12300,Call,3390
3/17/2021,12300,Put,34.5
3/17/2021,12400,Call,3290
3/17/2021,12400,Put,35
3/17/2021,12500,Call,3190
3/17/2021,12500,Put,36
3/17/2021,12600,Call,3090
3/17/2021,12600,Put,37
3/17/2021,12700,Call,2990
