expiry,strike,type,close
1/27/2021,14200,Call,1810
1/27/2021,14200,Put,0.7
1/27/2021,14300,Call,1710
1/27/2021,14300,Put,0.8
1/27/2021,14400,Call,1610
1/27/2021,14400,Put,1
1/27/2021,14500,Call,1520
1/27/2021,14500,Put,1.2
1/27/2021,14600,Call,1420
1/27/2021,14600,Put,1.3
1/27/2021,14700,Call,1320
1/27/2021,14700,Put,1.6
1/27/2021,14800,Call,1220
1/27/2021,14800,Put,1.9
1/27/2021,14900,Call,1120
1/27/2021,14900,Put,2.2
1/27/2021,15000,Call,1020
1/27/2021,15000,Put,2.8
1/27/2021,15100,Call,920
1/27/2021,15100,Put,3.2
1/27/2021,15200,Call,820
1/27/2021,15200,Put,4.7
1/27/2021,15300,Call,720
1/27/2021,15300,Put,6.9
1/27/2021,15350,Call,670
1/27/2021,15350,Put,8.3
1/27/2021,15400,Call,625
1/27/2021,15400,Put,10
1/27/2021,15450,Call,575
1/27/2021,15450,Put,12.5
1/27/2021,15500,Call,530
1/27/2021,15500,Put,15.5
1/27/2021,15550,Call,483
1/27/2021,15550,Put,19.5
1/27/2021,15600,Call,439
1/27/2021,15600,Put,25
1/27/2021,15650,Call,399
1/27/2021,15650,Put,31
1/27/2021,15700,Call,354
1/27/2021,15700,Put,40
1/27/2021,15750,Call,311
1/27/2021,15750,Put,47.5
1/27/2021,15800,Call,274
1/27/2021,15800,Put,60
1/27/2021,15850,Call,240
1/27/2021,15850,Put,75
1/27/2021,15900,Call,208
1/27/2021,15900,Put,91
1/27/2021,15950,Call,176
1/27/2021,15950,Put,110
1/27/2021,16000,Call,150
1/27/2021,16000,Put,134
1/27/2021,16050,Call,127
1/27/2021,16050,Put,158
1/27/2021,16100,Call,106
1/27/2021,16100,Put,189
1/27/2021,16150,Call,88
1/27/2021,16150,Put,220
1/27/2021,16200,Call,71
1/27/2021,16200,Put,257
1/27/2021,16250,Call,58
1/27/2021,16250,Put,293
1/27/2021,16300,Call,45
1/27/2021,16300,Put,326
1/27/2021,16350,Call,37.5
1/27/2021,16350,Put,373
1/27/2021,16400,Call,28.5
1/27/2021,16400,Put,414
1/27/2021,16450,Call,22
1/27/2021,16450,Put,461
1/27/2021,16500,Call,16.5
1/27/2021,16500,Put,500
1/27/2021,16550,Call,12.5
1/27/2021,16550,Put,550
1/27/2021,16600,Call,9.4
1/27/2021,16600,Put,595
1/27/2021,16700,Call,6
1/27/2021,16700,Put,690
1/27/2021,16800,Call,3.9
1/27/2021,16800,Put,790
1/27/2021,16900,Call,2.8
1/27/2021,16900,Put,890
1/27/2021,17000,Call,2
1/27/2021,17000,Put,990
1/27/2021,17100,Call,1.5
1/27/2021,17100,Put,1090
1/27/2021,17200,Call,0.9
1/27/2021,17200,Put,1190
1/27/2021,17300,Call,0.9
1/27/2021,17300,Put,1290
1/27/2021,17400,Call,0.8
1/27/2021,17400,Put,1390
1/27/2021,17500,Call,0.5
1/27/2021,17500,Put,1490
1/27/2021,17600,Call,0.5
1/27/2021,17600,Put,1590
1/27/2021,17700,Call,0.2
1/27/2021,17700,Put,1690
1/27/2021,17800,Call,0.1
1/27/2021,17800,Put,1790
2/17/2021,11600,Call,4380
2/17/2021,11600,Put,3.5
2/17/2021,11700,Call,4280
2/17/2021,11700,Put,3.6
2/17/2021,11800,Call,4180
2/17/2021,11800,Put,3.6
2/17/2021,11900,Call,4080
2/17/2021,11900,Put,4
2/17/2021,12000,Call,3980
2/17/2021,12000,Put,4.4
2/17/2021,12100,Call,3880
2/17/2021,12100,Put,4.5
2/17/2021,12200,Call,3780
2/17/2021,12200,Put,4.6
2/17/2021,12300,Call,3680
2/17/2021,12300,Put,4.7
2/17/2021,12400,Call,3580
2/17/2021,12400,Put,4.9
2/17/2021,12500,Call,3480
2/17/2021,12500,Put,5.6
2/17/2021,12600,Call,3380
2/17/2021,12600,Put,6
2/17/2021,12700,Call,3280
2/17/2021,12700,Put,6.1
2/17/2021,12800,Call,3180
2/17/2021,12800,Put,6.5
2/17/2021,12900,Call,3080
2/17/2021,12900,Put,6.6
2/17/2021,13000,Call,2980
2/17/2021,13000,Put,6.7
2/17/2021,13100,Call,2880
2/17/2021,13100,Put,6.8
2/17/2021,13200,Call,2780
2/17/2021,13200,Put,7.9
2/17/2021,13300,Call,2680
2/17/2021,13300,Put,8.5
2/17/2021,13400,Call,2590
2/17/2021,13400,Put,9.5
2/17/2021,13500,Call,2490
2/17/2021,13500,Put,12
2/17/2021,13600,Call,2390
2/17/2021,13600,Put,12
2/17/2021,13700,Call,2290
2/17/2021,13700,Put,14
2/17/2021,13800,Call,2190
2/17/2021,13800,Put,16
2/17/2021,13900,Call,2090
2/17/2021,13900,Put,18
2/17/2021,14000,Call,2000
2/17/2021,14000,Put,20
2/17/2021,14100,Call,1900
2/17/2021,14100,Put,24
2/17/2021,14200,Call,1800
2/17/2021,14200,Put,26
2/17/2021,14300,Call,1710
2/17/2021,14300,Put,32
2/17/2021,14400,Call,1610
2/17/2021,14400,Put,37
2/17/2021,14500,Call,1520
2/17/2021,14500,Put,43.5
2/17/2021,14600,Call,1430
2/17/2021,14600,Put,50
2/17/2021,14700,Call,1340
2/17/2021,14700,Put,60
2/17/2021,14800,Call,1250
2/17/2021,14800,Put,69
2/17/2021,14900,Call,1160
2/17/2021,14900,Put,80
2/17/2021,15000,Call,1070
2/17/2021,15000,Put,94
2/17/2021,15100,Call,985
2/17/2021,15100,Put,109
2/17/2021,15200,Call,910
2/17/2021,15200,Put,126
2/17/2021,15300,Call,825
2/17/2021,15300,Put,147
2/17/2021,15400,Call,750
2/17/2021,15400,Put,170
2/17/2021,15500,Call,675
2/17/2021,15500,Put,196
2/17/2021,15600,Call,600
2/17/2021,15600,Put,221
2/17/2021,15700,Call,530
2/17/2021,15700,Put,253
2/17/2021,15800,Call,470
2/17/2021,15800,Put,292
2/17/2021,15900,Call,409
2/17/2021,15900,Put,332
2/17/2021,16000,Call,356
2/17/2021,16000,Put,375
2/17/2021,16100,Call,301
2/17/2021,16100,Put,422
2/17/2021,16200,Call,265
2/17/2021,16200,Put,488
2/17/2021,16300,Call,225
2/17/2021,16300,Put,550
2/17/2021,16400,Call,188
2/17/2021,16400,Put,610
2/17/2021,16500,Call,171
2/17/2021,16500,Put,695
2/17/2021,16600,Call,133
2/17/2021,16600,Put,755
2/17/2021,16700,Call,109
2/17/2021,16700,Put,830
2/17/2021,16800,Call,92
2/17/2021,16800,Put,915
2/17/2021,16900,Call,76
