expiry,strike,type,close
1/6/2021,13000,Call,2010
1/6/2021,13000,Put,0.1
1/6/2021,13100,Call,1910
1/6/2021,13100,Put,0.1
1/6/2021,13200,Call,1810
1/6/2021,13200,Put,0.1
1/6/2021,13300,Call,1710
1/6/2021,13300,Put,0.1
1/6/2021,13400,Call,1610
1/6/2021,13400,Put,0.1
1/6/2021,13500,Call,1510
1/6/2021,13500,Put,0.1
1/6/2021,13600,Call,1410
1/6/2021,13600,Put,0.1
1/6/2021,13700,Call,1310
1/6/2021,13700,Put,0.1
1/6/2021,13800,Call,1210
1/6/2021,13800,Put,0.2
1/6/2021,13900,Call,1110
1/6/2021,13900,Put,0.2
1/6/2021,14000,Call,1010
1/6/2021,14000,Put,0.2
1/6/2021,14050,Call,960
1/6/2021,14050,Put,0.4
1/6/2021,14100,Call,910
1/6/2021,14100,Put,0.4
1/6/2021,14150,Call,860
1/6/2021,14150,Put,0.5
1/6/2021,14200,Call,810
1/6/2021,14200,Put,0.5
1/6/2021,14250,Call,760
1/6/2021,14250,Put,0.5
1/6/2021,14300,Call,710
1/6/2021,14300,Put,0.5
1/6/2021,14350,Call,660
1/6/2021,14350,Put,0.7
1/6/2021,14400,Call,610
1/6/2021,14400,Put,0.8
1/6/2021,14450,Call,560
1/6/2021,14450,Put,0.8
1/6/2021,14500,Call,510
1/6/2021,14500,Put,1
1/6/2021,14550,Call,461
1/6/2021,14550,Put,1.2
1/6/2021,14600,Call,411
1/6/2021,14600,Put,1.5
1/6/2021,14650,Call,361
1/6/2021,14650,Put,1.8
1/6/2021,14700,Call,312
1/6/2021,14700,Put,2.1
1/6/2021,14750,Call,263
1/6/2021,14750,Put,3.4
1/6/2021,14800,Call,215
1/6/2021,14800,Put,6
1/6/2021,14850,Call,170
1/6/2021,14850,Put,9.7
1/6/2021,14900,Call,124
1/6/2021,14900,Put,17
1/6/2021,14950,Call,88
1/6/2021,14950,Put,27.5
1/6/2021,15000,Call,56
1/6/2021,15000,Put,47.5
1/6/2021,15100,Call,18
1/6/2021,15100,Put,108
1/6/2021,15200,Call,4.3
1/6/2021,15200,Put,195
1/6/2021,15300,Call,1.3
1/6/2021,15300,Put,295
1/6/2021,15400,Call,0.4
1/6/2021,15400,Put,395
1/6/2021,15600,Call,0.1
1/6/2021,15600,Put,595
1/6/2021,15800,Call,0.1
1/6/2021,15800,Put,795
1/6/2021,16000,Call,0.1
1/6/2021,16000,Put,995
1/6/2021,16200,Call,0.1
1/6/2021,16200,Put,1190
1/6/2021,16400,Call,0.1
1/6/2021,16400,Put,1390
1/20/2021,10600,Call,4380
1/20/2021,10600,Put,1.8
1/20/2021,10700,Call,4280
1/20/2021,10700,Put,2.2
1/20/2021,10800,Call,4180
1/20/2021,10800,Put,2.2
1/20/2021,10900,Call,4080
1/20/2021,10900,Put,2.2
1/20/2021,11000,Call,3980
1/20/2021,11000,Put,2.4
1/20/2021,11100,Call,3880
1/20/2021,11100,Put,2.5
1/20/2021,11200,Call,3780
1/20/2021,11200,Put,2.8
1/20/2021,11300,Call,3680
1/20/2021,11300,Put,2.9
1/20/2021,11400,Call,3580
1/20/2021,11400,Put,2.9
1/20/2021,11500,Call,3480
1/20/2021,11500,Put,3.1
1/20/2021,11600,Call,3380
1/20/2021,11600,Put,3.3
1/20/2021,11700,Call,3280
1/20/2021,11700,Put,3.5
1/20/2021,11800,Call,3180
1/20/2021,11800,Put,3.8
1/20/2021,11900,Call,3080
1/20/2021,11900,Put,4
1/20/2021,12000,Call,2980
1/20/2021,12000,Put,4.5
1/20/2021,12100,Call,2880
1/20/2021,12100,Put,4.8
1/20/2021,12200,Call,2780
1/20/2021,12200,Put,4.9
1/20/2021,12300,Call,2680
1/20/2021,12300,Put,5.4
1/20/2021,12400,Call,2580
1/20/2021,12400,Put,5.6
1/20/2021,12500,Call,2480
1/20/2021,12500,Put,6
1/20/2021,12600,Call,2380
1/20/2021,12600,Put,6.4
1/20/2021,12700,Call,2280
1/20/2021,12700,Put,7
1/20/2021,12800,Call,2180
1/20/2021,12800,Put,7.5
1/20/2021,12900,Call,2080
1/20/2021,12900,Put,7.7
1/20/2021,13000,Call,1980
1/20/2021,13000,Put,8.6
1/20/2021,13100,Call,1880
1/20/2021,13100,Put,9.1
1/20/2021,13200,Call,1790
1/20/2021,13200,Put,9.8
1/20/2021,13300,Call,1690
1/20/2021,13300,Put,10
1/20/2021,13400,Call,1590
1/20/2021,13400,Put,11
1/20/2021,13500,Call,1490
1/20/2021,13500,Put,13
1/20/2021,13600,Call,1390
1/20/2021,13600,Put,13.5
1/20/2021,13700,Call,1290
1/20/2021,13700,Put,15.5
1/20/2021,13800,Call,1190
1/20/2021,13800,Put,17
1/20/2021,13900,Call,1100
1/20/2021,13900,Put,19.5
1/20/2021,14000,Call,1000
1/20/2021,14000,Put,23
1/20/2021,14100,Call,905
1/20/2021,14100,Put,26.5
1/20/2021,14200,Call,810
1/20/2021,14200,Put,32
1/20/2021,14300,Call,715
1/20/2021,14300,Put,38.5
1/20/2021,14400,Call,625
1/20/2021,14400,Put,48
1/20/2021,14500,Call,540
1/20/2021,14500,Put,59
1/20/2021,14600,Call,455
1/20/2021,14600,Put,76
1/20/2021,14700,Call,376
1/20/2021,14700,Put,98
1/20/2021,14800,Call,305
1/20/2021,14800,Put,126
1/20/2021,14900,Call,245
1/20/2021,14900,Put,164
1/20/2021,15000,Call,189
1/20/2021,15000,Put,209
1/20/2021,15200,Call,108
1/20/2021,15200,Put,331
1/20/2021,15400,Call,57
1/20/2021,15400,Put,484
1/20/2021,15600,Call,30
1/20/2021,15600,Put,655
1/20/2021,15800,Call,16
1/20/2021,15800,Put,840
1/20/2021,16000,Call,9.3
1/20/2021,16000,Put,1030
1/20/2021,16200,Call,5.6
1/20/2021,16200,Put,1230
1/20/2021,16400,Call,3.8
1/20/2021,16400,Put,1430
1/20/2021,16600,Call,2.4
1/20/2021,16600,Put,1630
1/20/2021,16800,Call,2.1
1/20/2021,16800,Put,1830
1/20/2021,17000,Call,1.7
1/20/2021,17000,Put,2030
1/20/2021,17200,Call,1.4
1/20/2021,17200,Put,2220
2/17/2021,11600,Call,3310
2/17/2021,11600,Put,14
2/17/2021,11700,Call,3210
2/17/2021,11700,Put,14.5
2/17/2021,11800,Call,3110
2/17/2021,11800,Put,15.5
2/17/2021,11900,Call,3020
2/17/2021,11900,Put,16.5
2/17/2021,12000,Call,2920
2/17/2021,12000,Put,17.5
2/17/2021,12100,Call,2820
2/17/2021,12100,Put,18.5
2/17/2021,12200,Call,2720
2/17/2021,12200,Put,19
2/17/2021,12300,Call,2620
2/17/2021,12300,Put,20
2/17/2021,12400,Call,2520
2/17/2021,12400,Put,20.5
2/17/2021,12500,Call,2420
2/17/2021,12500,Put,23
2/17/2021,12600,Call,2330
2/17/2021,12600,Put,24.5
2/17/2021,12700,Call,2230
2/17/2021,12700,Put,25
2/17/2021,12800,Call,2130
2/17/2021,12800,Put,25.5
2/17/2021,12900,Call,2030
2/17/2021,12900,Put,29
2/17/2021,13000,Call,1930
2/17/2021,13000,Put,32
2/17/2021,13100,Call,1840
2/17/2021,13100,Put,35
2/17/2021,13200,Call,1740
2/17/2021,13200,Put,36.5
2/17/2021,13300,Call,1640
2/17/2021,13300,Put,41
2/17/2021,13400,Call,1550
2/17/2021,13400,Put,44
2/17/2021,13500,Call,1450
2/17/2021,13500,Put,48.5
2/17/2021,13600,Call,1360
2/17/2021,13600,Put,55
2/17/2021,13700,Call,1260
2/17/2021,13700,Put,62
2/17/2021,13800,Call,1170
2/17/2021,13800,Put,69
2/17/2021,13900,Call,1080
2/17/2021,13900,Put,79
2/17/2021,14000,Call,990
2/17/2021,14000,Put,90
2/17/2021,14100,Call,905
2/17/2021,14100,Put,102
2/17/2021,14200,Call,820
2/17/2021,14200,Put,118
2/17/2021,14300,Call,740
2/17/2021,14300,Put,137
2/17/2021,14400,Call,660
2/17/2021,14400,Put,160
2/17/2021,14500,Call,585
2/17/2021,14500,Put,181
2/17/2021,14600,Call,510
2/17/2021,14600,Put,211
2/17/2021,14700,Call,450
2/17/2021,14700,Put,248
2/17/2021,14800,Call,388
2/17/2021,14800,Put,286
2/17/2021,14900,Call,331
